TIMESTAMP X(mg) Y(mg) Z(mg)
599618624552130944 -982 86 378
599618624561997568 -972 84 385
599618624571864192 -966 81 390
599618624581730816 -958 80 400
599618624591597568 -947 72 412
599618624601464192 -946 61 426
599618624611330816 -943 54 437
599618624621197440 -932 50 432
599618624631064064 -957 51 426
599618624640930688 -941 50 431
599618624650797312 -917 43 439
599618624660663936 -910 36 442
599618624670530560 -912 25 444
599618624680397312 -914 10 449
599618624690263936 -913 2 452
599618624700130560 -912 -2 453
599618624709997184 -912 -1 456
599618624719863808 -912 1 463
599618624729730432 -913 1 462
599618624739597056 -912 0 464
599618624749463680 -914 3 466
599618624759330304 -917 6 463
599618624769197056 -917 11 462
599618624779063680 -917 20 461
599618624788930304 -914 27 466
599618624798796890 -912 29 474
599618624808671232 -912 23 481
599618624818545536 -915 16 484
599618624828419712 -915 12 484
599618624838294016 -911 15 484
599618624848168320 -907 25 486
599618624858042624 -904 37 489
599618624867916800 -896 46 498
599618624877791104 -885 50 519
599618624887665408 -877 57 545
599618624897539712 -877 54 574
599618624907413888 -883 54 594
599618624917288192 -890 58 603
599618624927162496 -893 58 603
599618624937036672 -892 56 600
599618624946910976 -890 58 599
599618624956785280 -881 55 601
599618624966659584 -873 46 610
599618624976533760 -863 38 615
599618624986408064 -859 35 619
599618624996282368 -859 25 618
599618625006156672 -852 14 611
599618625016030848 -846 9 607
599618625025905152 -842 6 602
599618625035779456 -840 13 604
599618625045653632 -842 10 601
599618625055527936 -839 17 596
599618625065402240 -839 10 586
599618625075276544 -841 31 591
599618625085150720 -843 34 593
599618625095025024 -848 24 588
599618625104899328 -856 31 576
599618625114773632 -864 27 568
599618625124647808 -859 6 555
599618625134522112 -860 13 571
599618625144396416 -859 -3 578
599618625154270572 -869 -12 583
599618625164138880 -876 -12 586
599618625174007168 -878 -8 569
599618625183875584 -883 -4 558
599618625193743872 -875 2 548
599618625203612160 -868 8 546
599618625213480576 -864 19 552
599618625223348864 -862 29 553
599618625233217280 -865 32 552
599618625243085568 -868 30 552
599618625252953856 -864 30 553
599618625262822272 -859 20 554
599618625272690560 -852 17 561
599618625282558848 -842 15 579
599618625292427264 -835 19 599
599618625302295552 -832 35 611
599618625312163840 -828 51 618
599618625322032256 -831 70 613
599618625331900544 -833 58 611
599618625341768960 -833 66 603
599618625351637248 -832 68 597
599618625361505536 -833 66 600
599618625371373952 -834 64 595
599618625381242240 -834 61 588
599618625391110528 -829 56 597
599618625400978944 -826 52 603
599618625410847232 -820 50 606
599618625420715520 -818 45 606
599618625430583936 -814 40 600
599618625440452224 -811 35 592
599618625450320640 -812 29 594
599618625460188928 -816 25 598
599618625470057216 -821 26 596
599618625479925632 -826 18 593
599618625489793920 -826 11 584
599618625499662208 -829 4 576
599618625509530612 -830 0 573
599618625519401472 -828 -6 584
599618625529272320 -825 -5 585
599618625539143168 -822 -9 592
599618625549014144 -818 -13 597
599618625558884992 -816 -18 602
599618625568755840 -817 -20 607
599618625578626688 -817 -21 610
599618625588497664 -816 -20 612
599618625598368512 -812 -27 614
599618625608239360 -806 -32 615
599618625618110208 -805 -36 613
599618625627981184 -807 -36 611
599618625637852032 -807 -38 608
599618625647722880 -804 -41 606
599618625657593728 -806 -36 607
599618625667464576 -809 -32 608
599618625677335552 -818 -30 605
599618625687206400 -825 -25 602
599618625697077248 -826 -26 600
599618625706948096 -828 -24 593
599618625716819072 -827 -16 595
