TIMESTAMP X(mg) Y(mg) Z(mg)
599616119990941184 -934 -469 232
599616122615025536 -938 -464 232
599616125239109760 -942 -456 237
599616127863194112 -938 -454 236
599616130487278336 -940 -447 239
599616133111362688 -940 -439 243
599616135735446912 -936 -421 240
599616138359531264 -934 -411 239
599616140983615616 -933 -403 240
599616143607699840 -932 -398 236
599616146231784192 -935 -393 233
599616148855868416 -937 -391 229
599616151479952768 -936 -387 223
599616154104036992 -932 -382 214
599616156728121344 -929 -374 209
599616159352205568 -924 -357 205
599616161976289920 -925 -336 204
599616164600374272 -920 -321 204
599616167224458496 -917 -314 202
599616169848542848 -914 -307 214
599616172472627072 -913 -299 228
599616175096711424 -909 -298 235
599616177720795648 -907 -291 247
599616180344880000 -907 -279 262
599616182968964352 -909 -270 276
599616185593048576 -910 -265 286
599616188217132928 -911 -257 289
599616190841217152 -915 -253 289
599616193465301504 -918 -251 286
599616196089385728 -927 -248 285
599616198713470080 -938 -243 279
599616201337554432 -950 -237 274
599616203961638656 -963 -229 268
599616206585723008 -968 -217 256
599616209209807232 -975 -204 247
599616211833891476 -989 -188 243
599616211838818432 -994 -166 244
599616211843745408 -1001 -146 237
599616211848672384 -1006 -132 232
599616211853599360 -1011 -121 234
599616211858526336 -1012 -108 235
599616211863453184 -1012 -77 245
599616211868380160 -1009 -53 262
599616211873307136 -1007 -22 288
599616211878234112 -1005 2 310
599616211883161088 -1004 30 332
599616211888088064 -1011 62 354
599616211893015040 -1017 101 369
599616211897942016 -1027 121 376
599616211902868992 -1046 155 371
599616211907795840 -1071 177 356
599616211912722816 -1083 182 322
599616211917649792 -1094 188 293
599616211922576768 -1101 188 273
599616211927503744 -1108 193 263
599616211932430720 -1110 193 273
599616211937357696 -1113 194 285
599616211942284672 -1118 201 296
599616211947211520 -1113 204 313
599616211952138496 -1105 207 320
599616211957065472 -1088 201 325
599616211961992448 -1075 192 328
599616211966919424 -1057 182 336
599616211971846400 -1032 166 354
599616211976773376 -1017 146 359
599616211981700352 -1006 128 369
599616211986627328 -990 115 379
599616211991554176 -972 110 378
599616211996481152 -962 106 377
599616212001408128 -959 106 372
599616212006335104 -948 106 365
599616212011262082 -944 109 349
599616212016188160 -941 113 333
599616212021114240 -925 113 316
599616212026040448 -918 115 296
599616212030966528 -908 120 282
599616212035892608 -905 138 263
599616212040818688 -896 153 258
599616212045744896 -872 176 257
599616212050670976 -857 185 252
599616212055597056 -846 199 258
599616212060523136 -837 216 259
599616212065449344 -836 227 259
599616212070375424 -838 237 262
599616212075301504 -845 242 260
599616212080227584 -855 251 264
599616212085153792 -867 256 257
599616212090079872 -884 260 261
599616212095005952 -896 260 263
599616212099932032 -905 254 258
599616212104858240 -910 255 261
599616212109784320 -924 258 270
599616212114710400 -951 255 273
599616212119636608 -967 253 277
599616212124562688 -983 247 284
599616212129488768 -1002 246 290
599616212134414848 -1012 247 295
599616212139341056 -1016 244 297
599616212144267136 -1021 241 309
599616212149193216 -1023 243 319
599616212154119296 -1022 245 318
599616212159045504 -1021 244 322
599616212163971584 -1022 245 328
599616212168897664 -1020 248 327
599616212173823744 -1017 254 331
599616212178749952 -1015 257 326
