accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0.8429153561592102,0.9433015584945679,0.3199452757835388,0.3260984718799591,0.9058823585510254,0.948522686958313,0.9827311038970947,0.1658342182636261,0.6213333606719971,0.8961538672447205,0.0010000000474974513
0.9318947196006775,0.9808366298675537,0.1724034547805786,0.5420273542404175,0.9514706134796143,0.9573560953140259,0.9860835671424866,0.12510178983211517,0.6694915294647217,0.9115384817123413,0.0010000000474974513
0.9416856169700623,0.9862091541290283,0.1408270299434662,0.5818722248077393,0.9598039388656616,0.9204995632171631,0.9823131561279297,0.2033364325761795,0.49898168444633484,0.942307710647583,0.0010000000474974513
0.9546095132827759,0.9903978705406189,0.11131761968135834,0.642602801322937,0.9730392098426819,0.9704538583755493,0.9902611970901489,0.08717212826013565,0.7554858922958374,0.9269230961799622,0.0010000000474974513
0.9586042165756226,0.9918398261070251,0.09828183054924011,0.6632348299026489,0.9789215922355652,0.9631434679031372,0.9902336597442627,0.10872398316860199,0.6968838572502136,0.9461538195610046,0.0010000000474974513
0.9661235809326172,0.9934815168380737,0.084019735455513,0.7057793140411377,0.9877451062202454,0.9731952548027039,0.9914621710777283,0.08371926099061966,0.7774193286895752,0.9269230961799622,0.0010000000474974513
0.9674943089485168,0.994595468044281,0.07588926702737808,0.7149964570999146,0.9862744808197021,0.9546146988868713,0.988717257976532,0.14568722248077393,0.6412213444709778,0.9692307710647583,0.0010000000474974513
0.9673768281936646,0.9944539666175842,0.07599706202745438,0.7136282920837402,0.9882352948188782,0.9756320714950562,0.9851916432380676,0.08026757091283798,0.8020133972167969,0.9192307591438293,0.0010000000474974513
0.9698832631111145,0.995585024356842,0.06880614906549454,0.7306715250015259,0.9867647290229797,0.9728906750679016,0.9885282516479492,0.10083172470331192,0.7680251002311707,0.942307710647583,0.0010000000474974513
0.972938060760498,0.9957359433174133,0.06585470587015152,0.7519611716270447,0.9867647290229797,0.9686262607574463,0.9850930571556091,0.09842372685670853,0.738601803779602,0.9346153736114502,0.0010000000474974513
0.9710973501205444,0.9956502318382263,0.06676344573497772,0.7389867901802063,0.9867647290229797,0.9756320714950562,0.9806960225105286,0.07597018033266068,0.8040540814399719,0.9153845906257629,0.0010000000474974513
0.9797524809837341,0.997165322303772,0.048236213624477386,0.8013454675674438,0.9926470518112183,0.9765458703041077,0.9806897640228271,0.09092038869857788,0.8233215808868408,0.8961538672447205,0.0010000000474974513
0.9810448884963989,0.9972498416900635,0.0463198684155941,0.8112000226974487,0.9941176176071167,0.9765458703041077,0.9783493876457214,0.09466405212879181,0.808080792427063,0.9230769276618958,0.0010000000474974513
0.9763452410697937,0.99607253074646,0.05837482213973999,0.7757296562194824,0.9901960492134094,0.9674078822135925,0.988824725151062,0.10873224586248398,0.7270029783248901,0.942307710647583,0.0010000000474974513
0.9841779470443726,0.9983965754508972,0.03556493669748306,0.8374587297439575,0.9950980544090271,0.9777642488479614,0.9718313813209534,0.08625323325395584,0.8450184464454651,0.8807692527770996,0.0005000000237487257
0.9907182455062866,0.9988280534744263,0.02393387071788311,0.8969616889953613,0.9985294342041016,0.9792872667312622,0.9699515700340271,0.09574433416128159,0.8636363744735718,0.8769230842590332,0.0005000000237487257
0.9920889735221863,0.9992607235908508,0.019589504227042198,0.9106345176696777,0.9990196228027344,0.9783734679222107,0.97328120470047,0.10695751011371613,0.836298942565918,0.9038461446762085,0.0005000000237487257
0.9952611923217773,0.999573290348053,0.012307722121477127,0.944418728351593,0.9995098114013672,0.9786780476570129,0.9675959944725037,0.11622592061758041,0.8345070481300354,0.9115384817123413,0.0002500000118743628
0.9968669414520264,0.9997602105140686,0.008470503613352776,0.9622641801834106,1.0,0.9750228524208069,0.9648324847221375,0.13866202533245087,0.7986577153205872,0.9153845906257629,0.0002500000118743628
